,Source,SourceColor,SourceSize,Destination,DestinationColor,DestinationSize,Philosopher,SourceLatitude,SourceLongitude,DestLatitude,DestLongitude
93,Eretria,#482878,4,Amphiareion,#440154,4,Menedemus,39.29195,22.605929999999997,38.29388,23.855162
94,Eretria,#482878,4,Oropus,#440154,4,Menedemus,39.29195,22.605929999999997,38.319486,23.793064
95,Megara (Attica),#482878,4,Eretria,#482878,4,Menedemus,37.99471,23.343239999999998,39.29195,22.605929999999997
96,Elis,#482878,4,Eretria,#482878,4,Menedemus,37.891781,21.375091,39.29195,22.605929999999997
97,Thebes,#482878,4,Phoenicia,#482878,4,Menippus,38.319236,23.317355,33.25,35.25
98,Corinth,#482878,4,Maronea,#440154,4,Metrocles,37.906045,22.878721,40.874503000000004,25.509974
99,Miletus,#440154,4,Phoenicia,#482878,4,Nileos,37.531526,27.279560999999998,33.25,35.25
100,Messene,#440154,4,Syros,#482878,4,Pherecydes,37.183107,21.922941,37.43,24.92
101,Samos,#3e4a89,5,Syros,#482878,4,Pherecydes,37.73,26.84,37.43,24.92
102,Syros,#482878,4,Delphi,#440154,4,Pherecydes,37.43,24.92,38.482289,22.501169
103,Olympian Zeus sanctuary (Eleia),#440154,4,Syros,#482878,4,Pherecydes,37.63794,21.63042,37.43,24.92
104,Syros,#482878,4,Delos,#440154,4,Pherecydes,37.43,24.92,37.397273999999996,25.268194
105,Italy,#440154,4,Crotone,#440154,4,Philolaus,43.0,12.0,39.080763,17.12708
106,Sicily,#3e4a89,4,Crotone,#440154,4,Philolaus,37.59995833,14.01537778,39.080763,17.12708
107,Athenae,#fde725,6,Sicily,#3e4a89,4,Plato,37.971687,23.726464,37.59995833,14.01537778
108,Athenae,#fde725,6,Academy of Plato (Athens),#440154,4,Plato,37.971687,23.726464,37.971421,23.726166
109,Athenae,#fde725,6,Corinth,#482878,4,Plato,37.971687,23.726464,37.906045,22.878721
110,Athenae,#fde725,6,Cyrene,#482878,4,Plato,37.971687,23.726464,32.8180895,21.8578913
111,Athenae,#fde725,6,Megara (Attica),#482878,4,Plato,37.971687,23.726464,37.99471,23.343239999999998
112,Athenae,#fde725,6,Aetna M.,#440154,4,Plato,37.971687,23.726464,37.755,14.995
113,Athenae,#fde725,6,Ancient Egypt (region),#482878,4,Plato,37.971687,23.726464,27.884515999999998,28.39896735
114,Athenae,#fde725,6,Delium,#440154,4,Plato,37.971687,23.726464,38.351682000000004,23.653589
115,Athenae,#fde725,6,Italy,#440154,4,Plato,37.971687,23.726464,43.0,12.0
116,Sicily,#3e4a89,4,Abdera,#482878,4,Protagoras,37.59995833,14.01537778,40.95,24.983333
117,Athenae,#fde725,6,Abdera,#482878,4,Protagoras,37.971687,23.726464,40.95,24.983333
118,Sardis,#440154,4,Boeotia,#440154,4,Proxenus,38.488314,28.040286,38.35,23.25
119,Athenae,#fde725,6,Pitane,#482878,4,Pylades II,37.971687,23.726464,38.928297,26.937453
120,Pitane,#482878,4,Chios (island),#440154,4,Pylades II,38.928297,26.937453,38.414,26.053
121,Elis,#482878,4,Alpheios river,#440154,4,Pyrrho,37.891781,21.375091,37.331323,22.450723
122,Elis,#482878,4,India,#440154,4,Pyrrho,37.891781,21.375091,22.5,77.5
123,Samos,#3e4a89,5,Creta,#482878,4,Pythagoras,37.73,26.84,35.23189721,24.88625628
124,Samos,#3e4a89,5,Ancient Egypt (region),#482878,4,Pythagoras,37.73,26.84,27.884515999999998,28.39896735
125,Samos,#3e4a89,5,Metapontum,#440154,4,Pythagoras,37.73,26.84,40.383868,16.824063
126,Samos,#3e4a89,5,Ida,#440154,4,Pythagoras,37.73,26.84,39.7,26.83333
127,Samos,#3e4a89,5,Italy,#440154,4,Pythagoras,37.73,26.84,43.0,12.0
128,Samos,#3e4a89,5,Lesbos,#440154,4,Pythagoras,37.73,26.84,39.207481099999995,26.1342123
129,Samos,#3e4a89,5,Delos,#440154,4,Pythagoras,37.73,26.84,37.397273999999996,25.268194
130,Samos,#3e4a89,5,Nestos (river),#440154,4,Pythagoras,37.73,26.84,41.5,23.5
131,Samos,#3e4a89,5,Hades (Place),#440154,4,Pythagoras,37.73,26.84,37.0325,31.6369
132,Samos,#3e4a89,5,Crotone,#440154,4,Pythagoras,37.73,26.84,39.080763,17.12708
133,Athenae,#fde725,6,Phthia,#440154,4,Socrates,37.971687,23.726464,39.25,22.25
134,Athenae,#fde725,6,Potidaea,#440154,4,Socrates,37.971687,23.726464,40.193696,23.327811999999998
135,Athenae,#fde725,6,Isthmus,#440154,4,Socrates,37.971687,23.726464,37.911431,22.999944
136,Athenae,#fde725,6,Delium,#440154,4,Socrates,37.971687,23.726464,38.351682000000004,23.653589
137,Athenae,#fde725,6,Samos,#3e4a89,5,Socrates,37.971687,23.726464,37.73,26.84
138,Athenae,#fde725,6,Delphi,#440154,4,Socrates,37.971687,23.726464,38.482289,22.501169
139,Athenae,#fde725,6,Amphipolis,#440154,4,Socrates,37.971687,23.726464,36.486032,38.234823999999996
140,Salamis,#482878,4,Cilicia,#440154,4,Solon,37.94874,23.53379,37.01602582,35.52573634
141,Ancient Egypt (region),#482878,4,Salamis,#482878,4,Solon,27.884515999999998,28.39896735,37.94874,23.53379
142,Athenae,#fde725,6,Salamis,#482878,4,Solon,37.971687,23.726464,37.94874,23.53379
143,Cyprus,#440154,4,Salamis,#482878,4,Solon,35.14052197,33.40349071,37.94874,23.53379
144,Creta,#482878,4,Salamis,#482878,4,Solon,35.23189721,24.88625628,37.94874,23.53379
145,Athenae,#fde725,6,Macedonia,#440154,4,Speusippus,37.971687,23.726464,41.25,21.75
146,Alexandria at Egypt,#440154,4,Bosporus,#440154,4,Sphaerus,31.201434999999996,29.909772999999998,41.119444,29.075278000000004
147,Athenae,#fde725,6,Megara (Attica),#482878,4,Stilpo,37.971687,23.726464,37.99471,23.343239999999998
148,Megara (Attica),#482878,4,Aegina,#440154,4,Stilpo,37.99471,23.343239999999998,37.75,23.433332999999998
149,Creta,#482878,4,Phoenicia,#482878,4,Thales,35.23189721,24.88625628,33.25,35.25
150,Ancient Egypt (region),#482878,4,Phoenicia,#482878,4,Thales,27.884515999999998,28.39896735,33.25,35.25
151,Athenae,#fde725,6,Phoenicia,#482878,4,Thales,37.971687,23.726464,33.25,35.25
152,Athenae,#fde725,6,Cyrene,#482878,4,Theodorus,37.971687,23.726464,32.8180895,21.8578913
153,Cyrene,#482878,4,Corinth,#482878,4,Theodorus,32.8180895,21.8578913,37.906045,22.878721
154,Athenae,#fde725,6,Cnidos,#482878,4,Theomedon,37.971687,23.726464,36.730968,27.685847999999996
155,Cnidos,#482878,4,Piraeus,#440154,4,Theomedon,36.730968,27.685847999999996,37.938183,23.645456
156,Phlius,#482878,4,Chalcedon,#440154,4,Timon,37.831664,22.641069,40.983393,29.025789000000003
157,Phlius,#482878,4,Thebes,#482878,4,Timon,37.831664,22.641069,38.319236,23.317355
158,Elis,#482878,4,Phlius,#482878,4,Timon,37.891781,21.375091,37.831664,22.641069
159,Phlius,#482878,4,Propontis,#440154,4,Timon,37.831664,22.641069,40.6666672,28.249999900000002
160,Megara (Attica),#482878,4,Phlius,#482878,4,Timon,37.99471,23.343239999999998,37.831664,22.641069
161,Athenae,#fde725,6,Phlius,#482878,4,Timon,37.971687,23.726464,37.831664,22.641069
162,Academy of Plato (Athens),#440154,4,Chalcedon,#440154,4,Xenocrates,37.971421,23.726166,40.983393,29.025789000000003
163,Sicily,#3e4a89,4,Chalcedon,#440154,4,Xenocrates,37.59995833,14.01537778,40.983393,29.025789000000003
164,Colophon,#482878,4,Elea,#440154,4,Xenophanes,38.109632,27.147109999999998,39.444247999999995,20.560388
165,Colophon,#482878,4,Zancle,#440154,4,Xenophanes,38.109632,27.147109999999998,38.192251,15.556633999999999
166,Colophon,#482878,4,Katane,#440154,4,Xenophanes,38.109632,27.147109999999998,37.502959000000004,15.088142000000001
167,Sicily,#3e4a89,4,Colophon,#482878,4,Xenophanes,37.59995833,14.01537778,38.109632,27.147109999999998
168,Athenae,#fde725,6,Corinth,#482878,4,Xenophon,37.971687,23.726464,37.906045,22.878721
169,Athenae,#fde725,6,Skillous,#440154,4,Xenophon,37.971687,23.726464,37.75,21.75
170,Athenae,#fde725,6,Elis,#482878,4,Xenophon,37.971687,23.726464,37.891781,21.375091
171,Athenae,#fde725,6,Pontus,#440154,4,Xenophon,37.971687,23.726464,40.5,36.5
172,Athenae,#fde725,6,Hellas,#440154,4,Xenophon,37.971687,23.726464,37.5,22.5
173,Athenae,#fde725,6,Asia,#440154,4,Xenophon,37.971687,23.726464,38.00339058,28.583242
174,Athenae,#fde725,6,Lepreum,#440154,4,Xenophon,37.971687,23.726464,37.432321,21.726001999999998
175,Athenae,#fde725,6,Delium,#440154,4,Xenophon,37.971687,23.726464,38.351682000000004,23.653589
176,Piraeus,#440154,4,Kition (Cyprus),#440154,4,Zeno II,37.938183,23.645456,34.929596999999994,33.629471
177,Athenae,#fde725,6,Kition (Cyprus),#440154,4,Zeno II,37.971687,23.726464,34.929596999999994,33.629471
178,Athenae,#fde725,6,Phlius,#482878,4,Axiothea,37.971687,23.726464,37.831664,22.641069
179,Athenae,#fde725,6,Mantinea,#440154,4,Lastheneia,37.971687,23.726464,37.616619,22.391896
180,Athenae,#fde725,6,Elis,#482878,4,Philesia,37.971687,23.726464,37.891781,21.375091
